발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012013007,주간,월,1,1,0,0,0,충남,태안군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상,승용차,보행자,897553,1839206,126.3554052,36.54510794,,
2012,2012031007,주간,토,1,5,2,2,0,충남,예산군,차대차,측면충돌,측면충돌,기타,단일로,횡단보도부근,승용차,승합차,921924,1854502,126.6261039,36.68528814,,
2012,2012030420,야간,일,2,8,5,1,0,충남,홍성군,차대차,기타,기타,중앙선 침범,단일로,기타단일로,승합차,승용차,924278,1845594,126.6533286,36.60518205,,
2012,2012042410,주간,화,1,3,1,1,0,충남,연기군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,특수차,969024,1858126,127.1531268,36.72065954,,
2012,2012030617,주간,화,1,3,1,1,0,충남,홍성군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,승합차,916845,1836053,126.5712575,36.51856096,,
2012,2012021318,야간,월,1,1,0,0,0,충남,아산시,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,화물차,보행자,956320,1870645,127.0101523,36.83301175,,
2012,2012031412,주간,수,1,4,1,2,0,충남,공주시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,976154,1822605,127.2340683,36.40064365,,
2012,2012041820,야간,수,1,1,0,0,0,충남,금산군,차대사람,기타,기타,보행자 보호의무 위반,단일로,횡단보도상,승용차,보행자,997124,1799046,127.4680134,36.18853929,,
2012,2012031010,주간,토,2,3,0,1,0,충남,홍성군,차대차,추돌,진행중 추돌,기타,단일로,기타단일로,화물차,승용차,920177,1843539,126.6076923,36.58632381,,
2012,2012041517,주간,일,1,2,1,0,0,충남,서천군,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내,이륜차,승합차,928136,1787346,126.7018399,36.08040609,,
2012,2012041519,야간,일,1,1,0,0,0,충남,부여군,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,946896,1809516,126.9086858,36.28147483,,
2012,2012062010,주간,수,1,1,0,0,0,충남,청양군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,건설기계,없음,940660,1822548,126.8382586,36.39859258,,
2012,2012013022,야간,월,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,968741,1864938,127.1496787,36.78205799,,
2012,2012030211,주간,금,1,1,0,0,0,충남,당진시,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,화물차,보행자,922145,1878030,126.6261719,36.89738057,,
2012,2012032004,야간,화,2,3,1,0,0,충남,공주시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,974181,1829087,127.2118497,36.45902904,,
2012,2012040923,야간,월,1,10,4,5,0,충남,청양군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,화물차,948758,1818512,126.9288301,36.36267459,,
2012,2012022005,야간,월,1,1,0,0,0,충남,논산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,964324,1792459,127.1035181,36.12850096,,
